2447823.400000	8.700000			Vis.	MZS						No		G				AA CAS		STD		
2447824.200000	8.200000			Vis.	VED						No		G				AA CAS		STD		
2447824.600000	8.000000			Vis.	TPS						No		G				AA CAS		STD		
2447826.300000	8.300000			Vis.	FDA						No		G				AA CAS		STD		
2447828.300000	8.600000			Vis.	SJQ						No		G				AA CAS		STD		
2447828.400000	8.900000			Vis.	MZS						No		G				AA CAS		STD		
2447828.400000	8.300000			Vis.	KOS						No		G				AA CAS		STD		
2447833.300000	8.300000			Vis.	FRF						No		G				AA CAS		STD		
2447833.300000	8.300000			Vis.	SJZ						No		G				AA CAS		STD		
2447833.400000	8.600000			Vis.	VED						No		G				AA CAS		STD		
2447836.300000	8.600000			Vis.	SJQ						No		G				AA CAS		STD		
2447839.300000	8.100000			Vis.	BIC						No		G				AA CAS		STD		
2447840.310000	8.500000			Vis.	VED						No		G				AA CAS		STD		
2447848.170000	8.800000			Vis.	PMR						No		G				AA CAS		STD		
2447848.300000	8.700000			Vis.	SJQ						No		G				AA CAS		STD		
2447848.300000	8.600000			Vis.	VED						No		G				AA CAS		STD		
2447848.400000	8.700000			Vis.	PPS						No		G				AA CAS		STD		
2447849.200000	8.300000			Vis.	SJZ						No		G				AA CAS		STD		
2447855.230000	8.800000			Vis.	PMR						No		G				AA CAS		STD		
2447855.270000	8.600000			Vis.	VED						No		G				AA CAS		STD		
2447855.400000	8.200000			Vis.	KOS						No		G				AA CAS		STD		
2447859.300000	8.300000			Vis.	SJZ						No		G				AA CAS		STD		
2447859.500000	8.700000			Vis.	TPS						No		G				AA CAS		STD		
2447860.300000	8.500000			Vis.	FRF						No		G				AA CAS		STD		
2447860.400000	8.500000			Vis.	PPS						No		G				AA CAS		STD		
2447862.170000	9.000000			Vis.	PMR						No		G				AA CAS		STD		
2447862.330000	8.700000			Vis.	VED						No		G				AA CAS		STD		
2447865.400000	9.000000			Vis.	MZS						No		G				AA CAS		STD		
2447868.300000	8.600000			Vis.	SJZ						No		G				AA CAS		STD		
2447869.240000	9.100000			Vis.	PMR						No		G				AA CAS		STD		
2447869.300000	9.000000			Vis.	VED						No		G				AA CAS		STD		
2447876.210000	9.100000			Vis.	PMR						No		G				AA CAS		STD		
2447881.340000	9.000000			Vis.	PMR						No		G				AA CAS		STD		
2447881.430000	8.600000			Vis.	VED						No		G				AA CAS		STD		
2447884.300000	8.600000			Vis.	PPS						No		G				AA CAS		STD		
2447886.300000	8.800000			Vis.	SJQ						No		G				AA CAS		STD		
2447888.300000	8.200000			Vis.	SJZ						No		G				AA CAS		STD		
2447890.130000	8.800000			Vis.	PMR						No		G				AA CAS		STD		
2447895.240000	8.700000			Vis.	GRL						No		G				AA CAS		STD		
2447895.300000	8.700000			Vis.	PPS						No		G				AA CAS		STD		
2447895.400000	8.300000			Vis.	FRF						No		G				AA CAS		STD		
2447896.300000	8.200000			Vis.	SJZ						No		G				AA CAS		STD		
2447910.310000	8.400000			Vis.	VED						No		G				AA CAS		STD		
2447911.170000	8.100000			Vis.	PMR						No		G				AA CAS		STD		
2447918.300000	8.300000			Vis.	SJZ						No		G				AA CAS		STD		
2447919.300000	8.400000			Vis.	SJQ						No		G				AA CAS		STD		
2447920.300000	8.500000			Vis.	VED						No		G				AA CAS		STD		
2447924.300000	8.700000			Vis.	PPS						No		G				AA CAS		STD		
2447925.320000	8.800000			Vis.	VED						No		G				AA CAS		STD		
2447928.200000	8.500000			Vis.	SJZ						No		G				AA CAS		STD		
2447932.190000	9.000000			Vis.	PMR						No		G				AA CAS		STD		
2447940.270000	9.100000			Vis.	PMR						No		G				AA CAS		STD		
2447940.300000	8.800000			Vis.	SJZ						No		G				AA CAS		STD		
2447941.300000	8.700000			Vis.	FFC						No		G				AA CAS		STD		
2447942.300000	8.800000			Vis.	SJQ						No		G				AA CAS		STD		
2447943.350000	8.800000			Vis.	VED						No		G				AA CAS		STD		
2447943.400000	8.700000			Vis.	MZS						No		G				AA CAS		STD		
2447944.300000	8.300000			Vis.	TPS						No		G				AA CAS		STD		
2447944.300000	8.800000			Vis.	PPS						No		G				AA CAS		STD		
2447947.290000	9.000000			Vis.	PMR						No		G				AA CAS		STD		
2447947.300000	8.700000			Vis.	SJZ						No		G				AA CAS		STD		
2447952.300000	9.100000			Vis.	PMR						No		G				AA CAS		STD		
2447953.300000	8.700000			Vis.	PPS						No		G				AA CAS		STD		
2447955.300000	8.800000			Vis.	VED						No		G				AA CAS		STD		
2447958.300000	8.100000			Vis.	MZS						No		G				AA CAS		STD		
2447961.270000	8.700000			Vis.	PMR						No		G				AA CAS		STD		
2447963.300000	8.200000			Vis.	SJZ						No		G				AA CAS		STD		
2447963.330000	8.800000			Vis.	VED						No		G				AA CAS		STD		
2447964.300000	8.600000			Vis.	SJQ						No		G				AA CAS		STD		
2447967.470000	8.900000			Vis.	PMR						No		G				AA CAS		STD		
2447968.300000	8.200000			Vis.	SJZ						No		G				AA CAS		STD		
2447968.300000	8.600000			Vis.	SJQ						No		G				AA CAS		STD		
2447974.360000	8.600000			Vis.	PMR						No		G				AA CAS		STD		
2447983.300000	8.600000			Vis.	PPS						No		G				AA CAS		STD		
2447983.500000	8.000000			Vis.	MZS						No		G				AA CAS		STD		
2447994.310000	8.400000			Vis.	PMR						No		G				AA CAS		STD		
2448010.400000	8.700000			Vis.	PMR						No		G				AA CAS		STD		
2448016.400000	8.900000			Vis.	PMR						No		G				AA CAS		STD		
2448020.410000	8.800000			Vis.	PMR						No		G				AA CAS		STD		
2448040.500000	8.400000			Vis.	PPS						No		G				AA CAS		STD		
2448040.500000	8.100000			Vis.	SJZ						No		G				AA CAS		STD		
2448041.500000	8.100000			Vis.	MZS						No		G				AA CAS		STD		
2448052.400000	8.300000			Vis.	PPS						No		G				AA CAS		STD		
2448063.400000	8.300000			Vis.	PPS						No		G				AA CAS		STD		
2448067.500000	8.100000			Vis.	SJZ						No		G				AA CAS		STD		
2448072.400000	8.300000			Vis.	SJQ						No		G				AA CAS		STD		
2448080.400000	8.500000			Vis.	PPS						No		G				AA CAS		STD		
2448082.400000	8.300000			Vis.	MZS						No		G				AA CAS		STD		
2448085.400000	8.400000			Vis.	SJQ						No		G				AA CAS		STD		
2448085.500000	8.200000			Vis.	SJZ						No		G				AA CAS		STD		
2448087.470000	8.300000			Vis.	VED						No		G				AA CAS		STD		
2448093.500000	8.500000			Vis.	FFC						No		G				AA CAS		STD		
2448093.500000	9.000000			Vis.	MOI						No		G				AA CAS		STD		
2448094.400000	8.800000			Vis.	PPS						No		G				AA CAS		STD		
2448095.410000	8.500000			Vis.	VED						No		G				AA CAS		STD		
2448097.400000	8.700000			Vis.	PMR						No		G				AA CAS		STD		
2448097.440000	8.800000			Vis.	VED						No		G				AA CAS		STD		
2448099.400000	8.500000			Vis.	KOC						No		G				AA CAS		STD		
2448099.500000	8.600000			Vis.	SJQ						No		G				AA CAS		STD		
2448101.380000	8.700000			Vis.	PMR						No		G				AA CAS		STD		
2448102.400000	8.600000			Vis.	KVI						No		G				AA CAS		STD		
2448104.500000	8.700000			Vis.	VED						No		G				AA CAS		STD		
2448105.500000	8.700000			Vis.	SJQ						No		G				AA CAS		STD		
2448105.500000	8.300000			Vis.	SJZ						No		G				AA CAS		STD		
2448106.400000	9.000000			Vis.	PMR						No		G				AA CAS		STD		
2448109.400000	8.600000			Vis.	PPS						No		G				AA CAS		STD		
2448111.390000	8.900000			Vis.	PMR						No		G				AA CAS		STD		
2448112.420000	8.600000			Vis.	VED						No		G				AA CAS		STD		
2448117.400000	8.700000			Vis.	SJQ						No		G				AA CAS		STD		
