2423500.331,0.80,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423503.29,0.80,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423504.306,0.80,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423512.304,0.80,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423513.304,0.70,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423514.317,0.90,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423515.306,0.90,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423521.342,0.80,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423682.4,0.70,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423702.665,0.40,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423703.679,0.30,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423712.659,0.40,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423725.639,0.30,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423729.665,0.20,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423758.4,0.80,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423785.4,0.70,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423814.4,0.60,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423818.3,0.70,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423824.3,0.70,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423861.292,0.40,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2424087.7,0.70,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2424957.31,1.20,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2424959.31,1.30,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2424962.29,1.20,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2425239.92,1.20,,,Vis.,FUR,,,,,,No,,G,,,,alf ori,STD,,
