JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer
2455834.63331,10.9641,0.0160,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.706,Z,,,,SN 2011FE,27,STD,,,
2455834.634063,10.9594,0.0126,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.711,Z,,,,SN 2011FE,27,STD,,,
2455834.634826,10.9697,0.0136,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.716,Z,,,,SN 2011FE,27,STD,,,
2455834.63559,10.9620,0.0228,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.721,Z,,,,SN 2011FE,27,STD,,,
2455834.636354,10.9647,0.0146,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.726,Z,,,,SN 2011FE,27,STD,,,
2455834.637118,10.9617,0.0146,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.731,Z,,,,SN 2011FE,27,STD,,,
2455834.63787,10.9694,0.0153,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.736,Z,,,,SN 2011FE,27,STD,,,
2455834.638634,10.9551,0.0129,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.741,Z,,,,SN 2011FE,27,STD,,,
2455834.639398,10.9645,0.0147,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.746,Z,,,,SN 2011FE,27,STD,,,
2455834.640162,10.9702,0.0153,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.751,Z,,,,SN 2011FE,27,STD,,,
2455834.640914,10.9596,0.0136,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.757,Z,,,,SN 2011FE,27,STD,,,
2455834.641678,10.9635,0.0174,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.762,Z,,,,SN 2011FE,27,STD,,,
2455834.642442,10.9721,0.0145,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.767,Z,,,,SN 2011FE,27,STD,,,
2455834.643194,10.9704,0.0137,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.772,Z,,,,SN 2011FE,27,STD,,,
2455834.643958,10.9613,0.0143,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.777,Z,,,,SN 2011FE,27,STD,,,
2455834.644711,10.9643,0.0161,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.783,Z,,,,SN 2011FE,27,STD,,,
2455834.645475,10.9682,0.0146,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.788,Z,,,,SN 2011FE,27,STD,,,
2455834.646227,10.9685,0.0135,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.793,Z,,,,SN 2011FE,27,STD,,,
2455834.646991,10.9716,0.0138,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.799,Z,,,,SN 2011FE,27,STD,,,
2455834.647755,10.9742,0.0138,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.804,Z,,,,SN 2011FE,27,STD,,,
2455834.648507,10.9700,0.0135,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.809,Z,,,,SN 2011FE,27,STD,,,
2455834.649271,10.9583,0.0134,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.815,Z,,,,SN 2011FE,27,STD,,,
2455834.650035,10.9677,0.0143,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.820,Z,,,,SN 2011FE,27,STD,,,
2455834.650787,10.9698,0.0149,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.826,Z,,,,SN 2011FE,27,STD,,,
2455834.651551,10.9801,0.0243,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.831,Z,,,,SN 2011FE,27,STD,,,
2455834.652303,10.9792,0.0161,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.837,Z,,,,SN 2011FE,27,STD,,,
2455834.653067,10.9714,0.0145,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.842,Z,,,,SN 2011FE,27,STD,,,
2455834.653819,10.9572,0.0151,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.848,Z,,,,SN 2011FE,27,STD,,,
2455834.654583,10.9563,0.0149,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.854,Z,,,,SN 2011FE,27,STD,,,
2455834.655347,10.9765,0.0145,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.859,Z,,,,SN 2011FE,27,STD,,,
2455834.6561,10.9743,0.0145,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.865,Z,,,,SN 2011FE,27,STD,,,
2455834.656863,10.9776,0.0141,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.871,Z,,,,SN 2011FE,27,STD,,,
2455834.657616,10.9721,0.0130,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.876,Z,,,,SN 2011FE,27,STD,,,
2455834.65838,10.9580,0.0146,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.882,Z,,,,SN 2011FE,27,STD,,,
2455834.659144,10.9557,0.0162,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.888,Z,,,,SN 2011FE,27,STD,,,
2455834.659896,10.9722,0.0148,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.893,Z,,,,SN 2011FE,27,STD,,,
2455834.66066,10.9725,0.0164,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.899,Z,,,,SN 2011FE,27,STD,,,
2455834.661412,10.9673,0.0147,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.905,Z,,,,SN 2011FE,27,STD,,,
2455834.662176,10.9599,0.0164,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.911,Z,,,,SN 2011FE,27,STD,,,
2455834.66294,10.9647,0.0154,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.917,Z,,,,SN 2011FE,27,STD,,,
2455834.663692,10.9545,0.0142,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.923,Z,,,,SN 2011FE,27,STD,,,
2455834.664456,10.9690,0.0140,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.929,Z,,,,SN 2011FE,27,STD,,,
2455834.66522,10.9656,0.0155,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.935,Z,,,,SN 2011FE,27,STD,,,
2455834.665972,10.9602,0.0153,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.941,Z,,,,SN 2011FE,27,STD,,,
2455834.666736,10.9581,0.0153,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.947,Z,,,,SN 2011FE,27,STD,,,
2455834.667488,10.9652,0.0151,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.953,Z,,,,SN 2011FE,27,STD,,,
2455834.668252,10.9624,0.0148,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.959,Z,,,,SN 2011FE,27,STD,,,
2455834.669016,10.9591,0.0143,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.965,Z,,,,SN 2011FE,27,STD,,,
2455834.669769,10.9718,0.0148,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.971,Z,,,,SN 2011FE,27,STD,,,
2455834.670532,10.9680,0.0150,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.977,Z,,,,SN 2011FE,27,STD,,,
2455834.671296,10.9510,0.0147,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.983,Z,,,,SN 2011FE,27,STD,,,
2455834.672049,10.9584,0.0156,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.990,Z,,,,SN 2011FE,27,STD,,,
2455834.672813,10.9448,0.0183,,V,SSTA,,ENSEMBLE,,5644AXH,,0,1.996,Z,,,,SN 2011FE,27,STD,,,
2455834.673565,10.9653,0.0240,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.002,Z,,,,SN 2011FE,27,STD,,,
2455834.674329,10.9444,0.0262,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.008,Z,,,,SN 2011FE,27,STD,,,
2455834.675093,10.9195,0.0339,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.015,Z,,,,SN 2011FE,27,STD,,,
2455834.675845,10.9558,0.0247,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.021,Z,,,,SN 2011FE,27,STD,,,
2455834.676609,10.9082,0.0230,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.027,Z,,,,SN 2011FE,27,STD,,,
2455834.677361,10.8913,0.0225,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.034,Z,,,,SN 2011FE,27,STD,,,
2455834.678125,10.9207,0.0212,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.040,Z,,,,SN 2011FE,27,STD,,,
2455834.678877,10.9215,0.0186,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.047,Z,,,,SN 2011FE,27,STD,,,
2455834.679641,10.9331,0.0159,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.053,Z,,,,SN 2011FE,27,STD,,,
2455834.680405,10.9513,0.0189,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.060,Z,,,,SN 2011FE,27,STD,,,
2455834.681157,10.9286,0.0161,,V,SSTA,,ENSEMBLE,,5644AXH,,0,2.066,Z,,,,SN 2011FE,27,STD,,,
2455835.23958,10.8,,,Vis.,RZM,,103,111,5256xy,,,,Z,,,,SN 2011FE,0,STD,,,
2455835.241220,10.667,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.267,Z,11.528,13.275,,SN 2011FE,0,STD,,,
2455835.241667,10.627,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.268,Z,11.528,13.207,,SN 2011FE,0,STD,,,
2455835.242083,10.642,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.270,Z,11.528,13.278,,SN 2011FE,0,STD,,,
2455835.242535,10.640,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.271,Z,11.528,13.180,,SN 2011FE,0,STD,,,
2455835.242975,10.631,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.273,Z,11.528,13.212,,SN 2011FE,0,STD,,,
2455835.243426,10.653,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.274,Z,11.528,13.266,,SN 2011FE,0,STD,,,
2455835.243866,10.641,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.276,Z,11.528,13.194,,SN 2011FE,0,STD,,,
2455835.244282,10.637,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.277,Z,11.528,13.236,,SN 2011FE,0,STD,,,
2455835.244734,10.632,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.278,Z,11.528,13.229,,SN 2011FE,0,STD,,,
2455835.245,10.8,,,Vis.,VOL,,105,113,5256cfr,,,,Z,,,,SN 2011FE,0,STD,,,
2455835.245162,10.673,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.280,Z,11.528,13.210,,SN 2011FE,0,STD,,,
2455835.245613,10.647,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.281,Z,11.528,13.240,,SN 2011FE,0,STD,,,
2455835.246053,10.648,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.283,Z,11.528,13.177,,SN 2011FE,0,STD,,,
2455835.246482,10.652,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.284,Z,11.528,13.155,,SN 2011FE,0,STD,,,
2455835.246921,10.644,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.286,Z,11.528,13.225,,SN 2011FE,0,STD,,,
2455835.247373,10.649,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.288,Z,11.528,13.229,,SN 2011FE,0,STD,,,
2455835.247813,10.670,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.289,Z,11.528,13.247,,SN 2011FE,0,STD,,,
2455835.248252,10.658,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.291,Z,11.528,13.224,,SN 2011FE,0,STD,,,
2455835.248681,10.616,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.292,Z,11.528,13.201,,SN 2011FE,0,STD,,,
2455835.249120,10.615,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.294,Z,11.528,13.162,,SN 2011FE,0,STD,,,
2455835.249560,10.642,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.295,Z,11.528,13.197,,SN 2011FE,0,STD,,,
2455835.250000,10.624,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.297,Z,11.528,13.210,,SN 2011FE,0,STD,,,
2455835.250440,10.637,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.298,Z,11.528,13.266,,SN 2011FE,0,STD,,,
2455835.250868,10.650,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.300,Z,11.528,13.208,,SN 2011FE,0,STD,,,
2455835.251308,10.628,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.301,Z,11.528,13.226,,SN 2011FE,0,STD,,,
2455835.251748,10.680,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.303,Z,11.528,13.276,,SN 2011FE,0,STD,,,
2455835.252176,10.643,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.305,Z,11.528,13.200,,SN 2011FE,0,STD,,,
2455835.252627,10.661,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.306,Z,11.528,13.197,,SN 2011FE,0,STD,,,
2455835.253056,10.670,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.308,Z,11.528,13.213,,SN 2011FE,0,STD,,,
2455835.25347,10.561,,,R,MFB,,140,,5252rqi,,0,,Z,13.581,,,2011FE,1,STD,,,
2455835.253507,10.730,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.309,Z,11.528,13.219,,SN 2011FE,0,STD,,,
2455835.253947,10.669,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.311,Z,11.528,13.253,,SN 2011FE,0,STD,,,
2455835.254363,10.649,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.313,Z,11.528,13.223,,SN 2011FE,0,STD,,,
2455835.254815,10.647,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.314,Z,11.528,13.260,,SN 2011FE,0,STD,,,
2455835.255243,10.654,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.316,Z,11.528,13.241,,SN 2011FE,0,STD,,,
2455835.255694,10.663,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.317,Z,11.528,13.203,,SN 2011FE,0,STD,,,
2455835.256134,10.661,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.319,Z,11.528,13.238,,SN 2011FE,0,STD,,,
2455835.25625,10.848,,,I,MFB,,140,,5252rqi,,0,,Z,13.197,,,2011FE,1,STD,,,
2455835.256562,10.686,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.321,Z,11.528,13.197,,SN 2011FE,0,STD,,,
2455835.25694,10.9,,,Vis.,SSW,,105,113,5256dsl,,,,Z,,,,SN 2011FE,0,STD,,,
2455835.257002,10.659,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.322,Z,11.528,13.245,,SN 2011FE,0,STD,,,
2455835.257442,10.669,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.324,Z,11.528,13.227,,SN 2011FE,0,STD,,,
2455835.257870,10.664,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.326,Z,11.528,13.216,,SN 2011FE,0,STD,,,
2455835.258322,10.668,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.327,Z,11.528,13.277,,SN 2011FE,0,STD,,,
2455835.258750,10.675,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.329,Z,11.528,13.243,,SN 2011FE,0,STD,,,
2455835.259213,10.685,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.331,Z,11.528,13.259,,SN 2011FE,0,STD,,,
2455835.259630,10.684,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.332,Z,11.528,13.256,,SN 2011FE,0,STD,,,
2455835.25988,10.872,0.013,,V,CMAB,,117,128,5644ACW,,0,,Z,-7.751,-6.728,,SN 2011FE,0,STD,,,
2455835.260081,10.707,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.334,Z,11.528,13.271,,SN 2011FE,0,STD,,,
2455835.260521,10.678,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.336,Z,11.528,13.237,,SN 2011FE,0,STD,,,
2455835.260961,10.685,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.337,Z,11.528,13.221,,SN 2011FE,0,STD,,,
2455835.26111,10.7,,,Vis.,SJZ,,105,113,5254ANA,,,,Z,,,,SN 2011FE,30,STD,,,
2455835.261389,10.673,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.339,Z,11.528,13.214,,SN 2011FE,0,STD,,,
2455835.261817,10.679,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.341,Z,11.528,13.240,,SN 2011FE,0,STD,,,
2455835.262268,10.671,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.343,Z,11.528,13.253,,SN 2011FE,0,STD,,,
2455835.2625,11.3,,,Vis.,REP,,103,117,5296,,,,Z,,,,SN 2011FE,24,STD,,,
2455835.262708,10.680,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.344,Z,11.528,13.255,,SN 2011FE,0,STD,,,
2455835.263148,10.706,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.346,Z,11.528,13.240,,SN 2011FE,0,STD,,,
2455835.263588,10.667,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.348,Z,11.528,13.226,,SN 2011FE,0,STD,,,
2455835.26389,10.9,,,Vis.,OJMA,,11.1,11.3,5296asna,,,,Z,,,,SN 2011FE,0,STD,,,
2455835.264028,10.678,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.349,Z,11.528,13.245,,SN 2011FE,0,STD,,,
2455835.264444,10.674,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.351,Z,11.528,13.303,,SN 2011FE,0,STD,,,
2455835.264896,10.655,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.353,Z,11.528,13.338,,SN 2011FE,0,STD,,,
2455835.2652,10.33,,,Vis.,DAT,,TYC3852-00159-1,TYC3852-00078-1,K,,,,Z,,,,SN 2011FE,0,STD,,,
2455835.265347,10.649,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.355,Z,11.528,13.240,,SN 2011FE,0,STD,,,
2455835.265775,10.692,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.356,Z,11.528,13.248,,SN 2011FE,0,STD,,,
2455835.266227,10.691,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.358,Z,11.528,13.297,,SN 2011FE,0,STD,,,
2455835.266667,10.690,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.360,Z,11.528,13.327,,SN 2011FE,0,STD,,,
2455835.267095,10.668,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.362,Z,11.528,13.219,,SN 2011FE,0,STD,,,
2455835.267546,10.705,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.364,Z,11.528,13.274,,SN 2011FE,0,STD,,,
2455835.267963,10.680,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.365,Z,11.528,13.296,,SN 2011FE,0,STD,,,
2455835.268426,10.688,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.367,Z,11.528,13.285,,SN 2011FE,0,STD,,,
2455835.268866,10.684,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.369,Z,11.528,13.268,,SN 2011FE,0,STD,,,
2455835.269306,10.690,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.371,Z,11.528,13.254,,SN 2011FE,0,STD,,,
2455835.269757,10.698,,,CR,HND,,119,138,5263EGI,KAF-401LE,0,1.373,Z,11.528,13.273,,SN 2011FE,0,STD,,,
2455835.2715,10.9,,,Vis.,KWO,,105,113,5252rwj,,,,Z,,,,SN 2011FE,2,STD,,,
2455835.27361,10.8,,,Vis.,SUQ,,105,113,5254d,,,,Z,,,,SN 2011FE,0,STD,,,
2455835.27431,10.9,,,Vis.,KOS,,10.5,11.1,5256dz,,,,Z,,,,SN 2011FE,3,STD,,,
2455835.2812,10.5,,,Vis.,CSM,,000,,99999,,,,Z,,,,SN 2011FE,3,STD,,,
2455835.29437,10.842,0.007,,V,ATE,,138,141,110825,,0,1.64,Z,,13.961,,SN 2011FE,0,STD,,,
2455835.29507,10.835,0.007,,V,ATE,,138,141,110825,,0,1.64,Z,,13.992,,SN 2011FE,0,STD,,,
2455835.29564,10.846,0.007,,V,ATE,,138,141,110825,,0,1.65,Z,,13.950,,SN 2011FE,0,STD,,,
2455835.29623,10.874,0.007,,V,ATE,,138,141,110825,,0,1.65,Z,,13.957,,SN 2011FE,0,STD,,,
2455835.29679,10.857,0.007,,V,ATE,,138,141,110825,,0,1.65,Z,,13.915,,SN 2011FE,0,STD,,,
2455835.29739,10.853,0.007,,V,ATE,,138,141,110825,,0,1.66,Z,,14.022,,SN 2011FE,0,STD,,,
2455835.29800,10.888,0.007,,V,ATE,,138,141,110825,,0,1.66,Z,,14.041,,SN 2011FE,0,STD,,,
2455835.29856,10.843,0.007,,V,ATE,,138,141,110825,,0,1.67,Z,,13.905,,SN 2011FE,0,STD,,,
2455835.2986,11.3,,,Vis.,PLP,,113,117,5256UB,,,,Z,,,,SN 2011FE,30,STD,,,
2455835.29915,10.891,0.007,,V,ATE,,138,141,110825,,0,1.67,Z,,14.065,,SN 2011FE,0,STD,,,
2455835.29976,10.883,0.007,,V,ATE,,138,141,110825,,0,1.68,Z,,13.969,,SN 2011FE,0,STD,,,
2455835.3,10.9,,,Vis.,SYU,,103,113,5256DVJ,,,,Z,,,,SN 2011FE,2,STD,,,
2455835.30036,10.839,0.007,,V,ATE,,138,141,110825,,0,1.68,Z,,13.925,,SN 2011FE,0,STD,,,
2455835.30092,10.886,0.007,,V,ATE,,138,141,110825,,0,1.69,Z,,14.025,,SN 2011FE,0,STD,,,
2455835.30149,10.863,0.007,,V,ATE,,138,141,110825,,0,1.69,Z,,14.060,,SN 2011FE,0,STD,,,
2455835.30206,10.856,0.007,,V,ATE,,138,141,110825,,0,1.70,Z,,13.976,,SN 2011FE,0,STD,,,
2455835.30208,10.9,,,Vis.,KKAA,B,105,113,5256czo,,,,Z,,,,SN 2011FE,0,STD,,,
2455835.30263,10.844,0.007,,V,ATE,,138,141,110825,,0,1.70,Z,,13.987,,SN 2011FE,0,STD,,,
2455835.30319,10.863,0.007,,V,ATE,,138,141,110825,,0,1.70,Z,,14.102,,SN 2011FE,0,STD,,,
2455835.30380,10.837,0.007,,V,ATE,,138,141,110825,,0,1.71,Z,,13.922,,SN 2011FE,0,STD,,,
2455835.304,10.9,,,Vis.,PYG,YU,105-4,,5249DOQ,,,,Z,,,,SN 2011FE,30,STD,,,
2455835.30436,10.837,0.007,,V,ATE,,138,141,110825,,0,1.71,Z,,14.006,,SN 2011FE,0,STD,,,
2455835.30493,10.860,0.007,,V,ATE,,138,141,110825,,0,1.72,Z,,14.060,,SN 2011FE,0,STD,,,
2455835.30551,10.892,0.007,,V,ATE,,138,141,110825,,0,1.72,Z,,13.954,,SN 2011FE,0,STD,,,
2455835.30608,10.866,0.007,,V,ATE,,138,141,110825,,0,1.73,Z,,13.951,,SN 2011FE,0,STD,,,
2455835.30664,10.841,0.007,,V,ATE,,138,141,110825,,0,1.73,Z,,13.912,,SN 2011FE,0,STD,,,
2455835.30723,10.867,0.007,,V,ATE,,138,141,110825,,0,1.74,Z,,13.985,,SN 2011FE,0,STD,,,
2455835.30783,10.880,0.007,,V,ATE,,138,141,110825,,0,1.74,Z,,13.971,,SN 2011FE,0,STD,,,
2455835.30840,10.863,0.007,,V,ATE,,138,141,110825,,0,1.75,Z,,13.984,,SN 2011FE,0,STD,,,
2455835.3090,10.9,,,Vis.,VFK,,105,111,5254AD,LEIPZIG 203/800,,,Z,,,,PTF11KLY,2,STD,,,
2455835.3090,10.8,,,Vis.,MZS,,000,,999999,930111925,,,Z,,,,SN 2011FE,3,STD,,,
2455835.30900,10.875,0.007,,V,ATE,,138,141,110825,,0,1.75,Z,,13.960,,SN 2011FE,0,STD,,,
2455835.30957,10.890,0.007,,V,ATE,,138,141,110825,,0,1.76,Z,,13.997,,SN 2011FE,0,STD,,,
2455835.31014,10.877,0.007,,V,ATE,,138,141,110825,,0,1.76,Z,,13.950,,SN 2011FE,0,STD,,,
2455835.3104,10.9,,,Vis.,BVE,,107,110,BMU,CHART BMU BASED ON APASS AND TYCHO2,,,Z,,,,SN 2011FE,4,STD,,,
2455835.31070,10.878,0.007,,V,ATE,,138,141,110825,,0,1.77,Z,,13.961,,SN 2011FE,0,STD,,,
2455835.31128,10.851,0.007,,V,ATE,,138,141,110825,,0,1.77,Z,,14.029,,SN 2011FE,0,STD,,,
2455835.31185,10.839,0.007,,V,ATE,,138,141,110825,,0,1.78,Z,,13.939,,SN 2011FE,0,STD,,,
2455835.31242,10.844,0.007,,V,ATE,,138,141,110825,,0,1.78,Z,,13.976,,SN 2011FE,0,STD,,,
2455835.31298,10.860,0.007,,V,ATE,,138,141,110825,,0,1.79,Z,,13.935,,SN 2011FE,0,STD,,,
2455835.31355,10.859,0.007,,V,ATE,,138,141,110825,,0,1.79,Z,,14.087,,SN 2011FE,0,STD,,,
2455835.31412,10.876,0.007,,V,ATE,,138,141,110825,,0,1.80,Z,,13.901,,SN 2011FE,0,STD,,,
2455835.3146,11.0,,,Vis.,GGU,,105,113,5252VNO,,,,Z,,,,SN 2011FE,4,STD,,,
2455835.31472,10.850,0.007,,V,ATE,,138,141,110825,,0,1.80,Z,,13.947,,SN 2011FE,0,STD,,,
2455835.31529,10.847,0.007,,V,ATE,,138,141,110825,,0,1.81,Z,,13.967,,SN 2011FE,0,STD,,,
2455835.31586,10.867,0.007,,V,ATE,,138,141,110825,,0,1.81,Z,,14.085,,SN 2011FE,0,STD,,,
2455835.31597,11.1,,,Vis.,WKL,,11.3,11.7,5252tpy + GSC,,,,Z,,,,SN 2011FE,15,STD,,,
2455835.3194,10.9,,,Vis.,ILE,,000,,999999,,,,Z,,,,SN 2011FE,3,STD,,,
2455835.31944,10.9,,,Vis.,ILE,,105,111,5639f,,,,Z,,,,SN 2011FE,3,STD,,,
2455835.32121,10.809,0.040,,V,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.758,Z,,13.907,,SN 2011FE,30,STD,,,
2455835.32142,10.685,0.032,,R,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.759,Z,,13.528,,SN 2011FE,30,STD,,,
2455835.32163,11.743,0.110,,B,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.760,Z,,14.641,,SN 2011FE,30,STD,,,
2455835.32184,10.733,0.094,,I,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.761,Z,,13.036,,SN 2011FE,30,STD,,,
2455835.32206,10.779,0.041,,V,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.762,Z,,13.877,,SN 2011FE,30,STD,,,
2455835.32227,10.653,0.033,,R,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.763,Z,,13.548,,SN 2011FE,30,STD,,,
2455835.32290,10.859,0.037,,V,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.766,Z,,13.982,,SN 2011FE,30,STD,,,
2455835.32310,10.629,0.032,,R,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.767,Z,,13.564,,SN 2011FE,30,STD,,,
2455835.32352,10.819,0.098,,I,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.769,Z,,13.176,,SN 2011FE,30,STD,,,
