2454410.55545,12.115,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.55619,12.112,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.57986,12.1,,,Vis.,STI,,119,123,SD040314,,No,,G,,,,SS Cyg
2454410.59260,11.977,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.59353,11.960,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.59446,11.944,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.59539,11.988,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.59632,12.011,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.59725,12.023,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.59818,12.048,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.59911,12.032,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60005,12.036,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60098,12.044,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60191,12.046,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60285,12.049,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60377,12.041,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60470,12.035,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60564,12.064,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60657,12.056,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60711,11.91,0.006,,V,GTZ,,109,123,050220,,No,1.02,G,,,,SS Cyg
2454410.60750,12.079,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60844,12.082,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.60937,12.058,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61030,12.081,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61123,12.089,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61216,12.079,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61309,12.079,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61403,12.078,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61496,12.068,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61589,12.067,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61597,12.1,0.1,,V,DIL,O,11.9,12.3,071106,GRAS-G5: quick look,No,1.0,G,,,,SS Cyg
2454410.61682,12.044,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61775,12.008,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61868,11.997,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.61961,11.989,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.62054,12.028,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.62147,12.006,0.01,,V,CMP,,11.866,,050220,,No,1.19,G,,,,SS Cyg
2454410.6257,11.3,,,Vis.,CNT,,109,118,se1987,,No,,D,,,,SS Cyg
2454410.64514,12.0,,,Vis.,HTN,,119,,071027,,No,,G,,,,SS Cyg
2454410.6962916,12.843,0.02,,B,JM,,11.421,12.486,e050220,MaximDL 11.422 12.500 12.883,No,,G,,,,SS Cyg
2454410.6972867,12.119,0.02,,V,JM,,10.897,11.866,e050220,MaximDL 10.889 11.900 12.253,No,,G,,,,SS Cyg
2454410.698102,11.569,0.02,,R,JM,,10.590,11.507,e050220,MaximDL 10.575 11.548 11.910,No,,G,,,,SS Cyg
2454410.6989181,10.998,0.02,,I,JM,,10.306,11.163,e050220,MaximDL 10.298 11.186 11.527,No,,G,,,,SS Cyg
2454410.7040141,12.846,0.02,,B,JM,,11.421,12.486,e050220,MaximDL 11.414 12.510 12.880,No,,G,,,,SS Cyg
2454410.7050037,12.146,0.02,,V,JM,,10.897,11.866,e050220,MaximDL 10.889 11.902 12.251,No,,G,,,,SS Cyg
2454410.7058197,11.554,0.02,,R,JM,,10.590,11.507,e050220,MaximDL 10.587 11.553 11.894,No,,G,,,,SS Cyg
2454410.7066356,10.985,0.02,,I,JM,,10.306,11.163,e050220,MaximDL 10.292 11.202 11.517,No,,G,,,,SS Cyg
2454410.7078799,12.781,0.02,,B,JM,,11.421,12.486,e050220,MaximDL 11.422 12.513 12.870,No,,G,,,,SS Cyg
2454410.7088687,12.088,0.02,,V,JM,,10.897,11.866,e050220,MaximDL 10.881 11.892 12.268,No,,G,,,,SS Cyg
2454410.7096848,11.507,0.02,,R,JM,,10.590,11.507,e050220,MaximDL 10.596 11.542 11.896,No,,G,,,,SS Cyg
2454410.7105007,10.986,0.02,,I,JM,,10.306,11.163,e050220,MaximDL 10.298 11.198 11.515,No,,G,,,,SS Cyg
2454410.7117463,12.762,0.02,,B,JM,,11.421,12.486,e050220,MaximDL 11.424 12.497 12.884,No,,G,,,,SS Cyg
2454410.7127359,12.118,0.02,,V,JM,,10.897,11.866,e050220,MaximDL 10.886 11.902 12.254,No,,G,,,,SS Cyg
2454410.7135519,11.541,0.02,,R,JM,,10.590,11.507,e050220,MaximDL 10.588 11.541 11.905,No,,G,,,,SS Cyg
2454410.7143678,10.954,0.02,,I,JM,,10.306,11.163,e050220,MaximDL 10.305 11.205 11.502,No,,G,,,,SS Cyg
2454410.715612,12.747,0.02,,B,JM,,11.421,12.486,e050220,MaximDL 11.418 12.504 12.883,No,,G,,,,SS Cyg
2454410.7166009,12.092,0.02,,V,JM,,10.897,11.866,e050220,MaximDL 10.892 11.898 12.252,No,,G,,,,SS Cyg
2454410.7174169,11.537,0.02,,R,JM,,10.590,11.507,e050220,MaximDL 10.588 11.544 11.903,No,,G,,,,SS Cyg
